,id,title,authorships,abstract,topic,subfield,Unnamed: 0
2371,W2949416428,Semi-Supervised Learning with Deep Generative Models,"Diederik P. Kingma, Danilo Jimenez Rezende, Shakir Mohamed, Max Welling","The ever-increasing size of modern data sets combined with the difficulty of obtaining label information has made semi-supervised learning one of the problems of significant practical importance in modern data analysis. We revisit the approach to semi-supervised learning with generative models and develop new models that allow for effective generalisation from small labelled data sets to large unlabelled ones. Generative approaches have thus far been either inflexible, inefficient or non-scalable. We show that deep generative models and approximate Bayesian inference exploiting recent advances in variational methods can be used to provide significant improvements, making generative approaches highly competitive for semi-supervised learning.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2372,W2166706236,Parallelized Stochastic Gradient Descent,"Martin Zinkevich, Markus Weimer, Lihong Li, Alex Smola","With the increase in available data parallel machine learning has become an increasingly pressing problem. In this paper we present the first parallel stochastic gradient descent algorithm including a detailed analysis and experimental evidence. Unlike prior work on parallel optimization algorithms [5, 7] our variant comes with parallel acceleration guarantees and it poses no overly tight latency constraints, which might only be available in the multicore setting. Our analysis introduces a novel proof technique — contractive mappings to quantify the speed of convergence of parameter distributions to their asymptotic limits. As a side effect this answers the question of how quickly stochastic gradient descent algorithms reach the asymptotically normal regime [1, 8].",Stochastic Gradient Optimization Techniques,Artificial Intelligence,
2373,W1569098853,Optimization for Machine Learning,"Suvrit Sra, Sebastian Nowozin, Stephen J. Wright","An up-to-date account of the interplay between optimization and machine learning, accessible to students and researchers in both communities. The interplay between optimization and machine learning is one of the most important developments in modern computational science. Optimization formulations and methods are proving to be vital in designing algorithms to extract essential knowledge from huge volumes of data. Machine learning, however, is not simply a consumer of optimization technology but a rapidly evolving field that is itself generating new optimization ideas. This book captures the state of the art of the interaction between optimization and machine learning in a way that is accessible to researchers in both fields. Optimization approaches have enjoyed prominence in machine learning because of their wide applicability and attractive theoretical properties. The increasing complexity, size, and variety of today's machine learning models call for the reassessment of existing assumptions. This book starts the process of reassessment. It describes the resurgence in novel contexts of established frameworks such as first-order methods, stochastic approximations, convex relaxations, interior-point methods, and proximal methods. It also devotes attention to newer themes such as regularized optimization, robust optimization, gradient and subgradient methods, splitting techniques, and second-order methods. Many of these techniques draw inspiration from other fields, including operations research, theoretical computer science, and subfields of optimization. The book will enrich the ongoing cross-fertilization between the machine learning community and these other fields, and within the broader optimization community.",Sparse and Compressive Sensing Techniques,Computational Mechanics,
2374,W1503259811,Retrofitting Word Vectors to Semantic Lexicons,"Manaal Faruqui, Jesse Dodge, Sunil Kumar Jauhar, Chris Dyer, Eduard Hovy, Noah A. Smith","Manaal Faruqui, Jesse Dodge, Sujay Kumar Jauhar, Chris Dyer, Eduard Hovy, Noah A. Smith. Proceedings of the 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. 2015.",Natural Language Processing Techniques,Artificial Intelligence,
2403,W1832693441,Convolutional Neural Networks for Sentence Classification,Yoon Kim,"We report on a series of experiments with convolutional neural networks (CNN) trained on top of pre-trained word vectors for sentence-level classification tasks.We show that a simple CNN with little hyperparameter tuning and static vectors achieves excellent results on multiple benchmarks.Learning task-specific vectors through fine-tuning offers further gains in performance.We additionally propose a simple modification to the architecture to allow for the use of both task-specific and static vectors.The CNN models discussed herein improve upon the state of the art on 4 out of 7 tasks, which include sentiment analysis and question classification.",Topic Modeling,Artificial Intelligence,
2454,W2475287302,Image Style Transfer Using Convolutional Neural Networks,"Leon A. Gatys, Alexander S. Ecker, Matthias Bethge","Rendering the semantic content of an image in different styles is a difficult image processing task. Arguably, a major limiting factor for previous approaches has been the lack of image representations that explicitly represent semantic information and, thus, allow to separate image content from style. Here we use image representations derived from Convolutional Neural Networks optimised for object recognition, which make high level image information explicit. We introduce A Neural Algorithm of Artistic Style that can separate and recombine the image content and style of natural images. The algorithm allows us to produce new images of high perceptual quality that combine the content of an arbitrary photograph with the appearance of numerous wellknown artworks. Our results provide new insights into the deep image representations learned by Convolutional Neural Networks and demonstrate their potential for high level image synthesis and manipulation.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2503,W1614298861,Efficient Estimation of Word Representations in Vector Space,"Tomáš Mikolov, Kai Chen, Greg S. Corrado, Jay B. Dean","We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality of these representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks. We observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set. Furthermore, we show that these vectors provide state-of-the-art performance on our test set for measuring syntactic and semantic word similarities.",Topic Modeling,Artificial Intelligence,
2538,W1545319692,Riemann Manifold Langevin and Hamiltonian Monte Carlo Methods,"Mark Girolami, Ben Calderhead","Summary The paper proposes Metropolis adjusted Langevin and Hamiltonian Monte Carlo sampling methods defined on the Riemann manifold to resolve the shortcomings of existing Monte Carlo algorithms when sampling from target densities that may be high dimensional and exhibit strong correlations. The methods provide fully automated adaptation mechanisms that circumvent the costly pilot runs that are required to tune proposal densities for Metropolis–Hastings or indeed Hamiltonian Monte Carlo and Metropolis adjusted Langevin algorithms. This allows for highly efficient sampling even in very high dimensions where different scalings may be required for the transient and stationary phases of the Markov chain. The methodology proposed exploits the Riemann geometry of the parameter space of statistical models and thus automatically adapts to the local structure when simulating paths across this manifold, providing highly efficient convergence and exploration of the target density. The performance of these Riemann manifold Monte Carlo methods is rigorously assessed by performing inference on logistic regression models, log-Gaussian Cox point processes, stochastic volatility models and Bayesian estimation of dynamic systems described by non-linear differential equations. Substantial improvements in the time-normalized effective sample size are reported when compared with alternative sampling approaches. MATLAB code that is available from http://www.ucl.ac.uk/statistics/research/rmhmc allows replication of all the results reported.",Markov Chains and Monte Carlo Methods,Statistics and Probability,
2539,W156498718,A Language and Program for Complex Bayesian Modelling,"Walter R. Gilks, Andrew C. Thomas, D. J. Spiegelhalter","Gibbs sampling has enormous potential for analysing complex data sets. However, routine use of Gibbs sampling has been hampered by the lack of general purpose software for its implementation. Until now all applications have involved writing one-off computer code in low or intermediate level languages such as C or Fortran. We describe some general purpose software that we are currently developing for implementing Gibbs sampling: BUGS (Bayesian inference using Gibbs sampling). The BUGS system comprises three components: first, a natural language for specifying complex models; second, an 'expert system' for deciding appropriate methods for obtaining samples required by the Gibbs sampler; third, a sampling module containing numerical routines to perform the sampling. S objects are used for data input and output. BUGS is written in Modula-2 and runs under both DOS and UNIX.",Time Series Analysis and Forecasting,Signal Processing,
2540,W1579579143,Contemporary Bayesian Econometrics and Statistics,John Geweke,"Preface. 1. Introduction. 1.1 Two Examples. 1.1.1 Public School Class Sizes. 1.1.2 Value at Risk. 1.2 Observables, Unobservables, and Objects of Interest. 1.3 Conditioning and Updating. 1.4 Simulators. 1.5 Modeling. 1.6 Decisionmaking. 2. Elements of Bayesian Inference. 2.1 Basics. 2.2 Sufficiency, Ancillarity, and Nuisance Parameters. 2.2.1 Sufficiency. 2.2.2 Ancillarity. 2.2.3 Nuisance Parameters. 2.3 Conjugate Prior Distributions. 2.4 Bayesian Decision Theory and Point Estimation. 2.5 Credible Sets. 2.6 Model Comparison. 2.6.1 Marginal Likelihoods. 2.6.2 Predictive Densities. 3. Topics in Bayesian Inference. 3.1 Hierarchical Priors and Latent Variables. 3.2 Improper Prior Distributions. 3.3 Prior Robustness and the Density Ratio Class. 3.4 Asymptotic Analysis. 3.5 The Likelihood Principle. 4. Posterior Simulation. 4.1 Direct Sampling,. 4.2 Acceptance and Importance Sampling. 4.2.1 Acceptance Sampling. 4.2.2 Importance Sampling. 4.3 Markov Chain Monte Carlo. 4.3.1 The Gibbs Sampler. 4.3.2 The Metropolis-Hastings Algorithm. 4.4 Variance Reduction. 4.4.1 Concentrated Expectations. 4.4.2 Antithetic Sampling. 4.5 Some Continuous State Space Markov Chain Theory. 4.5.1 Convergence of the Gibbs Sampler. 4.5.2 Convergence of the Metropolis-Hastings Algorithm. 4.6 Hybrid Markov Chain Monte Carlo Methods. 4.6.1 Transition Mixtures. 4.6.2 Metropolis within Gibbs. 4.7 Numerical Accuracy and Convergence in Markov Chain Monte Carlo. 5. Linear Models. 5.1 BACC and the Normal Linear Regression Model. 5.2 Seemingly Unrelated Regressions Models. 5.3 Linear Constraints in the Linear Model. 5.3.1 Linear Inequality Constraints. 5.3.2 Conjectured Linear Restrictions, Linear Inequality Constraints, and Covariate Selection. 5.4 Nonlinear Regression. 5.4.1 Nonlinear Regression with Smoothness Priors. 5.4.2 Nonlinear Regression with Basis Functions. 6. Modeling with Latent Variables. 6.1 Censored Normal Linear Models. 6.2 Probit Linear Models. 6.3 The Independent Finite State Model. 6.4 Modeling with Mixtures of Normal Distributions. 6.4.1 The Independent Student-t Linear Model. 6.4.2 Normal Mixture Linear Models. 6.4.3 Generalizing the Observable Outcomes. 7. Modeling for Time Series. 7.1 Linear Models with Serial Correlation. 7.2 The First-Order Markov Finite State Model. 7.2.1 Inference in the Nonstationary Model. 7.2.2 Inference in the Stationary Model. 7.3 Markov Normal Mixture Linear Model. 8. Bayesian Investigation. 8.1 Implementing Simulation Methods. 8.1.1 Density Ratio Tests. 8.1.2 Joint Distribution Tests. 8.2 Formal Model Comparison. 8.2.1 Bayes Factors for Modeling with Common Likelihoods. 8.2.2 Marginal Likelihood Approximation Using Importance Sampling. 8.2.3 Marginal Likelihood Approximation Using Gibbs Sampling. 8.2.4 Density Ratio Marginal Likelihood Approximation. 8.3 Model Specification. 8.3.1 Prior Predictive Analysis. 8.3.2 Posterior Predictive Analysis. 8.4 Bayesian Communication. 8.5 Density Ratio Robustness Bounds. Bibliography. Author Index. Subject Index.",Statistical Methods and Bayesian Inference,Statistics and Probability,
2541,W1934017349,Dynamic Trees: A Structured Variational Method Giving Efficient Propagation Rules,Amos Storkey,"Dynamic trees are mixtures of tree structured belief networks. They solve some of the problems of fixed tree networks at the cost of making exact inference intractable. For this reason approximate methods such as sampling or mean field approaches have been used. However, mean field approximations assume a factorized distribution over node states. Such a distribution seems unlickely in the posterior, as nodes are highly correlated in the prior. Here a structured variational approach is used, where the posterior distribution over the non-evidential nodes is itself approximated by a dynamic tree. It turns out that this form can be used tractably and efficiently. The result is a set of update rules which can propagate information through the network to obtain both a full variational approximation, and the relevant marginals. The progagtion rules are more efficient than the mean field approach and give noticeable quantitative and qualitative improvement in the inference. The marginals calculated give better approximations to the posterior than loopy propagation on a small toy problem.",Bayesian Modeling and Causal Inference,Artificial Intelligence,
2543,W1992208280,Robust Stochastic Approximation Approach to Stochastic Programming,"Arkadi Nemirovski, Anatoli Juditsky, Guanghui Lan, Alexander Shapiro","In this paper we consider optimization problems where the objective function is given in a form of the expectation. A basic difficulty of solving such stochastic optimization problems is that the involved multidimensional integrals (expectations) cannot be computed with high accuracy. The aim of this paper is to compare two computational approaches based on Monte Carlo sampling techniques, namely, the stochastic approximation (SA) and the sample average approximation (SAA) methods. Both approaches, the SA and SAA methods, have a long history. Current opinion is that the SAA method can efficiently use a specific (say, linear) structure of the considered problem, while the SA approach is a crude subgradient method, which often performs poorly in practice. We intend to demonstrate that a properly modified SA approach can be competitive and even significantly outperform the SAA method for a certain class of convex stochastic problems. We extend the analysis to the case of convex-concave stochastic saddle point problems and present (in our opinion highly encouraging) results of numerical experiments.",Risk and Portfolio Optimization,Management Science and Operations Research,
2544,W2059424427,Explaining Variational Approximations,"John T. Ormerod, M. P. Wand","Variational approximations facilitate approximate inference for the parameters in complex statistical models and provide fast, deterministic alternatives to Monte Carlo methods. However, much of the contemporary literature on variational approximations is in Computer Science rather than Statistics, and uses terminology, notation, and examples from the former field. In this article we explain variational approximation in statistical terms. In particular, we illustrate the ideas of variational approximation using examples that are familiar to statisticians.",Statistical Methods and Inference,Statistics and Probability,
2545,W2951595529,Variational Dropout and the Local Reparameterization Trick,"Diederik P. Kingma, Tim Salimans, Max Welling","We investigate a local reparameterizaton technique for greatly reducing the variance of stochastic gradients for variational Bayesian inference (SGVB) of a posterior over model parameters, while retaining parallelizability. This local reparameterization translates uncertainty about global parameters into local noise that is independent across datapoints in the minibatch. Such parameterizations can be trivially parallelized and have variance that is inversely proportional to the minibatch size, generally leading to much faster convergence. Additionally, we explore a connection with dropout: Gaussian dropout objectives correspond to SGVB with local reparameterization, a scale-invariant prior and proportionally fixed posterior variance. Our method allows inference of more flexibly parameterized posteriors; specifically, we propose variational dropout, a generalization of Gaussian dropout where the dropout rates are learned, often leading to better models. The method is demonstrated through several experiments.",Gaussian Processes and Bayesian Inference,Artificial Intelligence,
2546,W4206566734,An Introduction to Variational Autoencoders,"Diederik P. Kingma, Max Welling","Variational autoencoders provide a principled framework for learning deep latent-variable models and corresponding inference models.In this work, we provide an introduction to variational autoencoders and some important extensions.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2547,W2592505114,Multiplicative Normalizing Flows for Variational Bayesian Neural Networks,"Christos Louizos, Max Welling",We reinterpret multiplicative noise in neural networks as auxiliary random variables that augment the approximate posterior in a variational setting for Bayesian neural networks. We show that through this interpretation it is both efficient and straightforward to improve the approximation by employing normalizing flows while still allowing for local reparametrizations and a tractable lower bound. In experiments we show that with this new approximation we can significantly improve upon classical mean field for Bayesian neural networks on both predictive accuracy as well as predictive uncertainty.,Gaussian Processes and Bayesian Inference,Artificial Intelligence,
2620,W2419501139,f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization,"Sebastian Nowozin, Botond Cseke, Ryota Tomioka","Generative neural samplers are probabilistic models that implement sampling using feedforward neural networks: they take a random input vector and produce a sample from a probability distribution defined by the network weights. These models are expressive and allow efficient computation of samples and derivatives, but cannot be used for computing likelihoods or for marginalization. The generative-adversarial training method allows to train such models through the use of an auxiliary discriminative neural network. We show that the generative-adversarial approach is a special case of an existing more general variational divergence estimation approach. We show that any f-divergence can be used for training generative neural samplers. We discuss the benefits of various choices of divergence functions on training complexity and the quality of the obtained generative models.",Adversarial Robustness in Machine Learning,Artificial Intelligence,
2648,W2577537660,<i>Stan</i>: A Probabilistic Programming Language,"Bob Carpenter, Andrew Gelman, Matthew D. Hoffman, Daniel C. Lee, Ben Goodrich, Michael Betancourt, Marcus A. Brubaker, Jiqiang Guo, Peter Li, Allen Riddell","Stan is a probabilistic programming language for specifying statistical models. A Stan program imperatively defines a log probability function over parameters conditioned on specified data and constants. As of version 2.14.0, Stan provides full Bayesian inference for continuous-variable models through Markov chain Monte Carlo methods such as the No-U-Turn sampler, an adaptive form of Hamiltonian Monte Carlo sampling. Penalized maximum likelihood estimates are calculated using optimization methods such as the limited memory Broyden-Fletcher-Goldfarb-Shanno algorithm. Stan is also a platform for computing log densities and their gradients and Hessians, which can be used in alternative algorithms such as variational Bayes, expectation propagation, and marginal inference using approximate integration. To this end, Stan is set up so that the densities, gradients, and Hessians, along with intermediate quantities of the algorithm such as acceptance probabilities, are easily accessible. Stan can be called from the command line using the cmdstan package, through R using the rstan package, and through Python using the pystan package. All three interfaces support sampling and optimization-based inference with diagnostics and posterior analysis. rstan and pystan also provide access to log probabilities, gradients, Hessians, parameter transforms, and specialized plotting.",Statistical Methods and Bayesian Inference,Statistics and Probability,
2801,W2759136286,Knowledge Graph Embedding: A Survey of Approaches and Applications,"Quan Wang, Zhendong Mao, Bin Wang, Li Guo","Knowledge graph (KG) embedding is to embed components of a KG including entities and relations into continuous vector spaces, so as to simplify the manipulation while preserving the inherent structure of the KG. It can benefit a variety of downstream tasks such as KG completion and relation extraction, and hence has quickly gained massive attention. In this article, we provide a systematic review of existing techniques, including not only the state-of-the-arts but also those with latest trends. Particularly, we make the review based on the type of information used in the embedding task. Techniques that conduct embedding using only facts observed in the KG are first introduced. We describe the overall framework, specific model design, typical training procedures, as well as pros and cons of such techniques. After that, we discuss techniques that further incorporate additional information besides facts. We focus specifically on the use of entity types, relation paths, textual descriptions, and logical rules. Finally, we briefly introduce how KG embedding can be applied to and benefit a wide variety of downstream tasks such as KG completion, relation extraction, question answering, and so forth.",Advanced Graph Neural Networks,Artificial Intelligence,
2867,W1542941005,"The Jumping Frog: In English, Then in French, Then Clawed Back Into a Civilized Language Once More by Patient, Unremunerated Toil",Mark Twain,"Mark Twain's Notorious Jumping Frog of Calaveras County is a story of the crusty Jim Smiley, a man who so loved to bet on animals - horses, dogs, etc. - that he trained a frog to be the strongest jumper in his county. Twain's broad yet graceful humor is beautifully complemented by the elegant woodcuts of Alan James Robinson. Finely reproduced, these illustrations bring Twain's great comic tale to life. Twain's classic tale of the Notorious Jumping Frog of Calaveras County is in three parts: the original tale published in 1865, the first French translation of the story, and Twain's tongue-in-cheek verbatim re-translation into English.",American Literature and Humor Studies,Literature and Literary Theory,
2868,W1896934482,Modeling object appearance using Context-Conditioned Component Analysis,"Daniyar Turmukhambetov, Neill D. F. Campbell, Simon J. D. Prince, Jan Kautz","Subspace models have been very successful at modeling the appearance of structured image datasets when the visual objects have been aligned in the images (e.g., faces). Even with extensions that allow for global transformations or dense warps of the image, the set of visual objects whose appearance may be modeled by such methods is limited. They are unable to account for visual objects where occlusion leads to changing visibility of different object parts (without a strict layered structure) and where a one-to-one mapping between parts is not preserved. For example bunches of bananas contain different numbers of bananas but each individual banana shares an appearance subspace. In this work we remove the image space alignment limitations of existing subspace models by conditioning the models on a shape dependent context that allows for the complex, non-linear structure of the appearance of the visual object to be captured and shared. This allows us to exploit the advantages of subspace appearance models with non-rigid, deformable objects whilst also dealing with complex occlusions and varying numbers of parts. We demonstrate the effectiveness of our new model with examples of structured inpainting and appearance transfer.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2869,W1905829557,"Predicting Depth, Surface Normals and Semantic Labels with a Common Multi-scale Convolutional Architecture","David Eigen, Rob Fergus","In this paper we address three different computer vision tasks using a single basic architecture: depth prediction, surface normal estimation, and semantic labeling. We use a multiscale convolutional network that is able to adapt easily to each task using only small modifications, regressing from the input image to the output map directly. Our method progressively refines predictions using a sequence of scales, and captures many image details without any superpixels or low-level segmentation. We achieve state-of-the-art performance on benchmarks for all three tasks.",Advanced Vision and Imaging,Computer Vision and Pattern Recognition,
2870,W1926639317,"FlowWeb: Joint image set alignment by weaving consistent, pixel-wise correspondences","Tinghui Zhou, Yong Jae Lee, Stella X. Yu, Alexei A. Efros","Given a set of poorly aligned images of the same visual concept without any annotations, we propose an algorithm to jointly bring them into pixel-wise correspondence by estimating a FlowWeb representation of the image set. FlowWeb is a fully-connected correspondence flow graph with each node representing an image, and each edge representing the correspondence flow field between a pair of images, i.e. a vector field indicating how each pixel in one image can find a corresponding pixel in the other image. Correspondence flow is related to optical flow but allows for correspondences between visually dissimilar regions if there is evidence they correspond transitively on the graph. Our algorithm starts by initializing all edges of this complete graph with an off-the-shelf, pairwise flow method. We then iteratively update the graph to force it to be more self-consistent. Once the algorithm converges, dense, globally-consistent correspondences can be read off the graph. Our results suggest that FlowWeb improves alignment accuracy over previous pairwise as well as joint alignment methods.",Advanced Image and Video Retrieval Techniques,Computer Vision and Pattern Recognition,
2871,W2019969451,Data-driven hallucination of different times of day from a single outdoor photo,"YiChang Shih, Sylvain Paris, Frédo Durand, William T. Freeman","We introduce ""time hallucination"": synthesizing a plausible image at a different time of day from an input image. This challenging task often requires dramatically altering the color appearance of the picture. In this paper, we introduce the first data-driven approach to automatically creating a plausible-looking photo that appears as though it were taken at a different time of day. The time of day is specified by a semantic time label, such as ""night"". Our approach relies on a database of time-lapse videos of various scenes. These videos provide rich information about the variations in color appearance of a scene throughout the day. Our method transfers the color appearance from videos with a similar scene as the input photo. We propose a locally affine model learned from the video for the transfer, allowing our model to synthesize new color data while retaining image details. We show that this model can hallucinate a wide range of different times of day. The model generates a large sparse linear system, which can be solved by off-the-shelf solvers. We validate our methods by synthesizing transforming photos of various outdoor scenes to four times of interest: daytime, the golden hour, the blue hour, and nighttime.",Advanced Image Processing Techniques,Computer Vision and Pattern Recognition,
2872,W2058017216,Disambiguating visual relations using loop constraints,"Christopher Zach, Manfred Klopschitz, Marc Pollefeys","Repetitive and ambiguous visual structures in general pose a severe problem in many computer vision applications. Identification of incorrect geometric relations between images solely based on low level features is not always possible, and a more global reasoning approach about the consistency of the estimated relations is required. We propose to utilize the typically observed redundancy in the hypothesized relations for such reasoning, and focus on the graph structure induced by those relations. Chaining the (reversible) transformations over cycles in this graph allows to build suitable statistics for identifying inconsistent loops in the graph. This data provides indirect evidence for conflicting visual relations. Inferring the set of likely false positive geometric relations from these non-local observations is formulated in a Bayesian framework. We demonstrate the utility of the proposed method in several applications, most prominently the computation of structure and motion from images.",Advanced Image and Video Retrieval Techniques,Computer Vision and Pattern Recognition,
2873,W2083366168,Transient attributes for high-level understanding and editing of outdoor scenes,"Pierre-Yves Laffont, Zhile Ren, Xiaofeng Tao, Chao Qian, James Hays","We live in a dynamic visual world where the appearance of scenes changes dramatically from hour to hour or season to season. In this work we study ""transient scene attributes"" -- high level properties which affect scene appearance, such as ""snow"", ""autumn"", ""dusk"", ""fog"". We define 40 transient attributes and use crowdsourcing to annotate thousands of images from 101 webcams. We use this ""transient attribute database"" to train regressors that can predict the presence of attributes in novel images. We demonstrate a photo organization method based on predicted attributes. Finally we propose a high-level image editing method which allows a user to adjust the attributes of a scene, e.g. change a scene to be ""snowy"" or ""sunset"". To support attribute manipulation we introduce a novel appearance transfer technique which is simple and fast yet competitive with the state-of-the-art. We show that we can convincingly modify many transient attributes in outdoor scenes.",Image Enhancement Techniques,Computer Vision and Pattern Recognition,
2874,W2116013899,Texture synthesis by non-parametric sampling,"Alexei A. Efros, Thomas Leung","A non-parametric method for texture synthesis is proposed. The texture synthesis process grows a new image outward from an initial seed, one pixel at a time. A Markov random field model is assumed, and the conditional distribution of a pixel given all its neighbors synthesized so far is estimated by querying the sample image and finding all similar neighborhoods. The degree of randomness is controlled by a single perceptually intuitive parameter. The method aims at preserving as much local structure as possible and produces good results for a wide variety of synthetic and real-world textures.",Image Retrieval and Classification Techniques,Computer Vision and Pattern Recognition,
2875,W2118557299,Image Co-segmentation via Consistent Functional Maps,"Fan Wang, Qixing Huang, Leonidas Guibas","Joint segmentation of image sets has great importance for object recognition, image classification, and image retrieval. In this paper, we aim to jointly segment a set of images starting from a small number of labeled images or none at all. To allow the images to share segmentation information with each other, we build a network that contains segmented as well as unsegmented images, and extract functional maps between connected image pairs based on image appearance features. These functional maps act as general property transporters between the images and, in particular, are used to transfer segmentations. We define and operate in a reduced functional space optimized so that the functional maps approximately satisfy cycle-consistency under composition in the network. A joint optimization framework is proposed to simultaneously generate all segmentation functions over the images so that they both align with local segmentation cues in each particular image, and agree with each other under network transportation. This formulation allows us to extract segmentations even with no training data, but can also exploit such data when available. The collective effect of the joint processing using functional maps leads to accurate information sharing among images and yields superior segmentation results, as shown on the iCoseg, MSRC, and PASCAL data sets.",Visual Attention and Saliency Detection,Computer Vision and Pattern Recognition,
2876,W2143133882,Consistent shape maps via semidefinite programming,"Qixing Huang, Leonidas Guibas","Recent advances in shape matching have shown that jointly optimizing the maps among the shapes in a collection can lead to significant improvements when compared to estimating maps between pairs of shapes in isolation. These methods typically invoke a cycle-consistency criterion --- the fact that compositions of maps along a cycle of shapes should approximate the identity map. This condition regularizes the network and allows for the correction of errors and imperfections in individual maps. In particular, it encourages the estimation of maps between dissimilar shapes by compositions of maps along a path of more similar shapes.In this paper, we introduce a novel approach for obtaining consistent shape maps in a collection that formulates the cycle-consistency constraint as the solution to a semidefinite program (SDP). The proposed approach is based on the observation that, if the ground truth maps between the shapes are cycle-consistent, then the matrix that stores all pair-wise maps in blocks is low-rank and positive semidefinite. Motivated by recent advances in techniques for low-rank matrix recovery via semidefinite programming, we formulate the problem of estimating cycle-consistent maps as finding the closest positive semidefinite matrix to an input matrix that stores all the initial maps. By analyzing the Karush-Kuhn-Tucker (KKT) optimality condition of this program, we derive theoretical guarantees for the proposed algorithm, ensuring the correctness of the recovery when the errors in the inputs maps do not exceed certain thresholds. Besides this theoretical guarantee, experimental results on benchmark datasets show that the proposed approach outperforms state-of-the-art multiple shape matching methods.",3D Shape Modeling and Analysis,Computational Mechanics,
2877,W2157575844,Back-Translation for Cross-Cultural Research,Richard W. Brislin,"Two aspects of translation were investigated: (1) factors that affect translation quality, and (2) how equivalence between source and target versions can be evaluated. The variables of language, content, and difficulty were studied through an analysis of variance design. Ninety-four bilinguals from the University of Guam, representing ten languages, translated or back-translated six essays incorporating three content areas and two levels of difficulty. The five criteria for equivalence were based on comparisons of meaning or predictions of similar responses to original or translated versions. The factors of content, difficulty, language and content-language interaction were significant, and the five equivalence criteria proved workable. Conclusions are that translation quality can be predicted, and that a functionally equivalent translation can be demonstrated when responses to the original and target versions are studied.",Natural Language Processing Techniques,Artificial Intelligence,
2878,W2963800363,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs,"Ting-Chun Wang, Ming-Yu Liu, Jun-Yan Zhu, Andrew Tao, Jan Kautz, Bryan Catanzaro","We present a new method for synthesizing high-resolution photo-realistic images from semantic label maps using conditional generative adversarial networks (conditional GANs). Conditional GANs have enabled a variety of applications, but the results are often limited to low-resolution and still far from realistic. In this work, we generate 2048 × 1024 visually appealing results with a novel adversarial loss, as well as new multi-scale generator and discriminator architectures. Furthermore, we extend our framework to interactive visual manipulation with two additional features. First, we incorporate object instance segmentation information, which enables object manipulations such as removing/adding objects and changing the object category. Second, we propose a method to generate diverse results given the same input, allowing users to edit the object appearance interactively. Human opinion studies demonstrate that our method significantly outperforms existing methods, advancing both the quality and the resolution of deep image synthesis and editing.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2879,W2963767194,StarGAN: Unified Generative Adversarial Networks for Multi-domain Image-to-Image Translation,"Yunjey Choi, Minje Choi, Munyoung Kim, Jung-Woo Ha, Sunghun Kim, Jaegul Choo","Recent studies have shown remarkable success in image-to-image translation for two domains. However, existing approaches have limited scalability and robustness in handling more than two domains, since different models should be built independently for every pair of image domains. To address this limitation, we propose StarGAN, a novel and scalable approach that can perform image-to-image translations for multiple domains using only a single model. Such a unified model architecture of StarGAN allows simultaneous training of multiple datasets with different domains within a single network. This leads to StarGAN's superior quality of translated images compared to existing models as well as the novel capability of flexibly translating an input image to any desired target domain. We empirically demonstrate the effectiveness of our approach on a facial attribute transfer and a facial expression synthesis tasks.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2880,W2765811365,Generative Adversarial Networks: An Overview,"Antonia Creswell, Tom White, Vincent Dumoulin, Kai Arulkumaran, Biswa Sengupta, Anil A. Bharath","Generative adversarial networks (GANs) provide a way to learn deep representations without extensively annotated training data. They achieve this by deriving backpropagation signals through a competitive process involving a pair of networks. The representations that can be learned by GANs may be used in a variety of applications, including image synthesis, semantic image editing, style transfer, image superresolution, and classification. The aim of this review article is to provide an overview of GANs for the signal processing community, drawing on familiar analogies and concepts where possible. In addition to identifying different methods for training and constructing GANs, we also point to remaining challenges in their theory and application.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
2881,W2962974533,Semantic Image Synthesis With Spatially-Adaptive Normalization,"Taesung Park, Ming-Yu Liu, Ting-Chun Wang, Jun-Yan Zhu","We propose spatially-adaptive normalization, a simple but effective layer for synthesizing photorealistic images given an input semantic layout. Previous methods directly feed the semantic layout as input to the network, forcing the network to memorize the information throughout all the layers. Instead, we propose using the input layout for modulating the activations in normalization layers through a spatially-adaptive, learned affine transformation. Experiments on several challenging datasets demonstrate the superiority of our method compared to existing approaches, regarding both visual fidelity and alignment with input layouts. Finally, our model allows users to easily control the style and content of image synthesis results as well as create multi-modal results. Code is available upon publication.",Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,
